,Connection Name,Option 1,Option 2,Option 3,Option 4,Notes
1,Beetles,Stag,Scarab,Ladybird,Weevil,
1,Biblical Plagues,Frogs,Locusts,Flies,Gnats,
1,Cities with dogs named after them,Chihuahua,Boston,Rottweil,Lhasa,
1,Things you can spill,Tea,Blood,Beans,Milk,
2,Mr Darcy Actors,Colin Firth,Laurence Olivier,Peter Cushing,Matthew MacFayden,
2,Liverpool Actors,Alison Steadman,Kim Cattrall,Jason Isaacs,David Morrisey,
2,Jane Austen Dances ,Quadrille,Cotillion,English Country,Waltz,
2,Famous Christophers?,Plummer,Lee,Robin,Lloyd,
3,Wrappers,Candy,Vinyl,Gift,Tortilla,
3,Rappers,Common,Kendrick,Missy Elliott,Tupac,"Maybe do Gold Teeth, or Dead rappers or All East Coast"
3,Women's Rugby,Portia Woodman-Wickliffe,Sophie de Goede,Alex Tessier,Tyson Beukeboom,
3,Charleton Heston Movie Quotes,"Damn you, God Damn you all to hell",Take your stinking paw off me you damn dirty ape!,Soylent Green is people!,Let My People Go,I am Judah Ben-Hur
4,Famous Hamiltonians,Short,Kirby,Shai,E.D.,
4,Taxes,Levy,Duty,Tarriff,Toll,
4,Boards,Bread,School,Cutting,Cheese,"Game, Particle"
4,Winners of Bake Off,Hatcher,Wilkinson,France,Miller,"David Schwimmer, Joe Thomas"
5,Arthur's Favourite Songs,Baby Truck,Heave-ho,Motorcycle,Maniac,November 5th
5,Arthur's Favourite Phrases,No,"When Dadda done eating, he can play with you",What you doing hombre?,"Mamma, Watch, Promise",
5,Arthur's Favourite Drinks,Agua,Lechita,Jugo,Soda,
5,Arthur's Favourite People,Lalo,Momma,Blippi,Dad(dy/da),
6,Cakes,Cheese,Short,Hot,Pan,
6,Movie Theatre concessions,Popcorn,Sour Patch Kids,Root beer,Skittles,
6,Things that have shells,Turtles,Reece's Pieces,Snails,Eggs,
6,Terms with word play in them,Horse,Fair ,Foul,Role,
7,Christopher Plummer Roles,Harlan Thrombey,Henrik Vanger,Charles Muntz,Georg Von Trapp,
7,Bells,Kettle,Bar,Dumb,Cow,
7,Need more Cowbell Actors,Will Ferrell,Christopher Walken,Jimmy Fallon,Chris Parnell,
7,2020 Europe Trip,Athens,Dublin,Vienna,Liverpool,
8,Celebrities who died and were replaced,Paul McCartney,Avril Lavigne,Eminem,Kanye West,
8,Left Handed Guitarists,Jimi Hendrix,Paul McCartney,Kurt Cobain,Tony Iommi,
8,People on Sgt Pepper Album Cover,Mae West,Fred Astaire,Marilyn Monroe,Oscar Wilde,
8,Beatles Wives,Linda,Pattie,Maureen,Cynthia,
9,Midsomer Murders Locations,Mallow,Worthy,Causton,Badger's Drift,
9,Midsomer Murders Famous Actors,Orlando Bloom,Henry Cavill,Hugh Bonneville,Olivia Coleman,
9,Midsomer Murderers Police Actors,Gavin,Ben,Dan,Tom,
9,Midsomer Murder Side Characters,George,Sykes,Cully,Joyce,
10,Names from Paul Simon songs,Robinson,Julio,Cecilia,Al,
10,Canadian inventions,Basketball,Hawaiian Pizza,Insulin,Trivial Pursuit,
10,Canadian Boardgames,Crokinole,Yahtzee,Pictionary,Balderdash,
10,Spanish Beatles,Juan,Paolo,Jorge,Ricardo,
11,A court of ...,Thorns,Mist,Wings,Frost,
11,Famous James,McCartney,Marsden,Dean,McAvoy,
11,Famous Williams,Shakespeare,Wallace,Serena,Tell,
11,Rugby Positions,Props,Hookers,Locks,Wings,
12,King Arthur Characters,Arthur,Galahad,Merlin,Morgana,
12,Characters From Arthur,Arthur,Brain,Buster,DW,
12,Poirot Characters,Arthur,Poirot,Ms Lemon,Japp,
12,First names of British Writers,Arthur,Terry,Jane,Roald,
13,Food deals/combos,Combo,Super size,Happy Meal,Factory Size,
13,Spumoni,Spumoni,Spimoni,Spumoney,Spomoni,
13,Things in the old spaghetti factory,Horses,Phone Boxes,Stained Glass,Shirley Temples,Street car
13,Spumoni puns,Spumoni (That's what I want),Spumoni Danza,Spumoni Lisa,Spumonkey business,
14,We're,Paul,Paul,Paul,Paul,
14,Seeing,Paul,Paul,Paul,Paul,
14,Paul,Paul,Paul,Paul,Paul,
14,McCartney,Paul,Paul,Paul,Paul,
,Lord Of The Rings,,,,,
,Cary Elwes Roles,Robin Hood,Westley,Scott Roemer,Myles,
,Princess Bride,Buttercup,Max,ROUS,Albino,
,Mis-,Direction,Information,Communication,Chieveous,
,Beatles Members,John,Paul,George,Ringo,
,Covers by the Beatles,Twist and Shout,Act naturally,Mr Moonlight,Chains,
,Songs performed by Beatles on Ed Sullivan,,,,,
,Favourite Restaurants,East,,,,
,Tammi's VO Roles,Bubbles,Cocoa,Rebecca,Beatriz,
, McGangBang Ingredients,Cheese,Bread,Beef,Chicken,Tammi wants one of these during her birthday week https://alexkwa.com/i-tried-the-monstrosity-called-the-mcgangbang/
,Dog Nicknames,,,,,
,Oven types,Convections,Induction,Gas,Electric,
,Female PMs/Leaders,Merkel,Cleopatra,Campbell,Windsor,
,Hot,Dog,Chocolate,Tin Roof,Water,
,Brooklyn 99 phrases,Bing pot,Title of your sex tape,Cool cool cool,Hot Damn,
,Famous Rabbits,Bugs,Thumper,Roger,Peter,
,Types of water,Creek,Estuary,River,Stream,
,Call me,Out,Maybe,Al,Back,
,Jury Duty,,,,,
